iter	RMSE
0	28.83944263
1	28.08690024
2	27.3453897
3	26.62362982
4	25.93281395
5	25.25469291
6	24.59009744
7	23.9574745
8	23.33234221
9	22.72987198
10	22.1430378
11	21.57931289
12	21.04086908
13	20.50044967
14	19.97769583
15	19.46807998
16	18.97737139
17	18.49375665
18	18.02749329
19	17.57930252
20	17.15240088
21	16.72767287
22	16.29273189
23	15.9023668
24	15.515166
25	15.13006702
26	14.76541157
27	14.40991539
28	14.04485437
29	13.70325276
30	13.37216587
31	13.03738856
32	12.72250644
33	12.4164147
34	12.12722752
35	11.831787
36	11.54621549
37	11.2650684
38	10.99428254
39	10.73448781
40	10.48117779
41	10.23325643
42	9.986930803
43	9.748268299
44	9.516538128
45	9.292281735
46	9.074863623
47	8.860824969
48	8.66338535
49	8.462845988
50	8.271165547
51	8.084369991
52	7.899658372
53	7.728352448
54	7.561994494
55	7.390488511
56	7.229447215
57	7.072506209
58	6.914618764
59	6.765443671
60	6.622952639
61	6.480282015
62	6.346190531
63	6.210225065
64	6.077842942
65	5.952272815
66	5.828399014
67	5.708749098
68	5.591894445
69	5.478184771
70	5.372315455
71	5.265646618
72	5.159590438
73	5.058851673
74	4.959421975
75	4.865849357
76	4.772875192
77	4.68235646
78	4.594535515
79	4.508388605
80	4.426325744
81	4.34483607
82	4.265798441
83	4.191078421
84	4.11653262
85	4.043176847
86	3.973714197
87	3.90558915
88	3.838493823
89	3.77524381
90	3.712763828
91	3.651506792
92	3.592347416
93	3.534876451
94	3.477567841
95	3.423945851
96	3.370686568
97	3.318822034
98	3.268693019
99	3.219774134
100	3.173104108
101	3.127372579
102	3.082293803
103	3.037666216
104	2.995045993
105	2.953443888
106	2.912703039
107	2.873337974
108	2.835415149
109	2.796396631
110	2.759476863
111	2.722584816
112	2.687627925
113	2.653186581
114	2.621053428
115	2.588027012
116	2.555605582
117	2.525593663
118	2.495937365
119	2.467245627
120	2.437980181
121	2.410120467
122	2.38309204
123	2.355832836
124	2.331210365
125	2.306533277
126	2.28210074
127	2.257545995
128	2.234928227
129	2.211993938
130	2.189075557
131	2.166728794
132	2.145343408
133	2.125011327
134	2.104777418
135	2.08589864
136	2.066706265
137	2.047945417
138	2.029312197
139	2.011733446
140	1.994613468
141	1.977895048
142	1.960832391
143	1.945718394
144	1.929799377
145	1.91511085
146	1.899579592
147	1.884774818
148	1.871282715
149	1.857114832
150	1.844062937
151	1.830473505
152	1.817340818
153	1.805132884
154	1.792402408
155	1.77943585
156	1.76728903
157	1.753982018
158	1.742930709
159	1.73149305
160	1.720979209
161	1.708276056
162	1.696209963
163	1.686366411
164	1.676989864
165	1.667013197
166	1.657782343
167	1.648110099
168	1.639186551
169	1.630213029
170	1.62198914
171	1.61395031
172	1.603462508
173	1.592871886
174	1.585130476
175	1.577599713
176	1.569628158
177	1.559723231
178	1.552323347
179	1.545313077
180	1.535766379
181	1.529093178
182	1.522377484
183	1.516176319
184	1.507091708
185	1.500896838
186	1.494529368
187	1.487725115
188	1.481954171
189	1.474291099
190	1.465933439
191	1.459645407
192	1.454229279
193	1.449088428
194	1.442776516
195	1.436022179
196	1.428392403
197	1.422442332
198	1.417172979
199	1.412577914
200	1.407787746
201	1.401754512
202	1.397284496
203	1.392966014
204	1.388473369
205	1.383555825
206	1.379301513
207	1.373308729
208	1.369052695
209	1.365015439
210	1.36085646
211	1.356685502
212	1.35319953
213	1.348383535
214	1.341549216
215	1.338056447
216	1.334579382
217	1.328019627
218	1.321535225
219	1.318293077
220	1.313696168
221	1.310280916
222	1.305719944
223	1.301574958
224	1.298312873
225	1.295412194
226	1.291814949
227	1.286038554
228	1.280686208
229	1.277602931
230	1.273431544
231	1.270628116
232	1.265728323
233	1.262858361
234	1.260204313
235	1.257712957
236	1.255365107
237	1.250062187
238	1.246064049
239	1.240374775
240	1.236456718
241	1.230176817
242	1.227965185
243	1.224575016
244	1.220485302
245	1.213787306
246	1.21061806
247	1.207770957
248	1.204467205
249	1.2012599
250	1.197670362
251	1.194206783
252	1.191610048
253	1.189710376
254	1.183454761
255	1.180292195
256	1.175441119
257	1.170072241
258	1.166581838
259	1.164518701
260	1.162684103
261	1.157588979
262	1.154578172
263	1.151359939
264	1.148209561
265	1.14641194
266	1.140685383
267	1.137883673
268	1.136309618
269	1.13206478
270	1.127769271
271	1.125182913
272	1.1231567
273	1.117808399
274	1.115883731
275	1.112842891
276	1.108482238
277	1.104754031
278	1.101520043
279	1.097135453
280	1.092268581
281	1.08792175
282	1.083394197
283	1.079691772
284	1.075391208
285	1.072921802
286	1.069872541
287	1.067395899
288	1.064870305
289	1.061905417
290	1.059285836
291	1.056764206
292	1.054612858
293	1.050657763
294	1.047689444
295	1.045426367
296	1.040964731
297	1.038986415
298	1.036629888
299	1.033812401
300	1.031712414
301	1.027527248
302	1.025246844
303	1.022493158
304	1.020159206
305	1.016855656
306	1.015495543
307	1.013405759
308	1.009724265
309	1.007985796
310	1.00494711
311	1.002859251
312	0.9992057926
313	0.9981008186
314	0.9951049282
315	0.9928383344
316	0.9892664712
317	0.9864339101
318	0.984392209
319	0.9809844321
320	0.9787712012
321	0.9769221289
322	0.9739376396
323	0.9722137943
324	0.9686243214
325	0.966193179
326	0.9635013088
327	0.9620089784
328	0.9590418414
329	0.9563451989
330	0.9530983449
331	0.9510200079
332	0.9500007093
333	0.9469575523
334	0.9451438863
335	0.9424877633
336	0.9402809092
337	0.9372783317
338	0.9353390953
339	0.9331152405
340	0.9309824622
341	0.9291500276
342	0.9264433761
343	0.9245929969
344	0.9219900478
345	0.9200354424
346	0.9181846927
347	0.9157523196
348	0.9141824453
349	0.9113690171
350	0.9099677584
351	0.9089875063
352	0.9064547533
353	0.9037871109
354	0.9009963911
355	0.8993687877
356	0.8981461267
357	0.8957600807
358	0.8929912556
359	0.8912688252
360	0.8899318729
361	0.8874469758
362	0.884781451
363	0.8825124816
364	0.8808793728
365	0.8779031998
366	0.876143788
367	0.8736174663
368	0.8722298983
369	0.869984542
370	0.8683631246
371	0.866264875
372	0.8643807425
373	0.8619412756
374	0.8603339516
375	0.8580918777
376	0.8557678279
377	0.8534741261
378	0.8518455775
379	0.8507945881
380	0.8495263229
381	0.8482982525
382	0.846194312
383	0.8443864426
384	0.8424499865
385	0.8408211446
386	0.8387601894
387	0.8372801906
388	0.835960363
389	0.8345443802
390	0.8325240775
391	0.8304481208
392	0.8289914887
393	0.8270265843
394	0.8251663146
395	0.8232671353
396	0.821325119
397	0.8203089572
398	0.8193415283
399	0.81721759
400	0.815087862
401	0.8135918177
