iter	Passed	Remaining
0	264	131833
1	320	79781
2	387	64214
3	453	56281
4	521	51626
5	589	48553
6	651	45895
7	726	44704
8	802	43762
9	872	42731
10	936	41628
11	998	40600
12	1059	39693
13	1124	39040
14	1181	38210
15	1241	37569
16	1302	36995
17	1357	36346
18	1411	35722
19	1466	35184
20	1526	34812
21	1591	34588
22	1650	34235
23	1715	34028
24	1774	33719
25	1832	33407
26	1890	33110
27	1951	32895
28	2008	32623
29	2118	33188
30	2173	32883
31	2231	32629
32	2285	32338
33	2341	32086
34	2405	31957
35	2466	31796
36	2532	31690
37	2588	31474
38	2644	31263
39	2699	31046
40	2752	30812
41	2803	30576
42	2856	30356
43	2914	30206
44	2971	30041
45	3026	29865
46	3078	29674
47	3133	29507
48	3189	29353
49	3247	29226
50	3305	29101
51	3364	28988
52	3423	28869
53	3474	28699
54	3528	28552
55	3587	28441
56	3643	28317
57	3698	28186
58	3750	28034
59	3802	27881
60	3850	27714
61	3901	27563
62	3952	27413
63	4003	27272
64	4057	27156
65	4111	27036
66	4167	26934
67	4218	26800
68	4270	26678
69	4321	26545
70	4377	26447
71	4433	26356
72	4492	26275
73	4543	26156
74	4596	26047
75	4654	25966
76	4724	25952
77	4782	25874
78	4846	25826
79	4900	25729
80	4952	25620
81	5006	25520
82	5063	25439
83	5130	25407
84	5188	25332
85	5239	25222
86	5286	25093
87	5336	24986
88	5386	24875
89	5435	24763
90	5489	24672
91	5548	24608
92	5603	24522
93	5652	24414
94	5703	24315
95	5751	24205
96	5800	24099
97	5849	23995
98	5904	23915
99	5959	23836
100	6014	23759
101	6066	23669
102	6110	23552
103	6160	23457
104	6216	23385
105	6268	23300
106	6320	23216
107	6371	23126
108	6423	23043
109	6475	22958
110	6525	22870
111	6575	22779
112	6623	22684
113	6677	22609
114	6726	22518
115	6778	22438
116	6831	22361
117	6881	22278
118	6934	22200
119	6982	22110
120	7030	22021
121	7093	21978
122	7153	21924
123	7220	21894
124	7274	21823
125	7343	21798
126	7424	21805
127	7475	21725
128	7521	21631
129	7570	21547
130	7623	21474
131	7679	21408
132	7736	21348
133	7796	21295
134	7848	21219
135	7893	21127
136	7942	21045
137	7986	20950
138	8039	20879
139	8087	20796
140	8139	20724
141	8185	20636
142	8241	20575
143	8294	20506
144	8344	20429
145	8392	20350
146	8441	20272
147	8488	20188
148	8531	20096
149	8578	20015
150	8624	19932
151	8665	19840
152	8714	19763
153	8756	19673
154	8804	19597
155	8853	19523
156	8903	19452
157	8953	19380
158	8999	19300
159	9048	19228
160	9089	19139
161	9153	19098
162	9207	19036
163	9255	18962
164	9299	18880
165	9359	18831
166	9414	18773
167	9474	18722
168	9528	18662
169	9582	18601
170	9631	18530
171	9679	18458
172	9737	18406
173	9792	18346
174	9834	18264
175	9874	18178
176	9923	18108
177	9992	18076
178	10044	18012
179	10097	17950
180	10179	17939
181	10272	17948
182	10323	17883
183	10368	17806
184	10429	17758
185	10475	17684
186	10527	17620
187	10574	17549
188	10619	17473
189	10674	17416
190	10730	17360
191	10775	17285
192	10816	17205
193	10862	17133
194	10924	17087
195	10985	17038
196	11038	16977
197	11082	16903
198	11128	16832
199	11169	16754
200	11213	16680
201	11258	16608
202	11298	16530
203	11337	16450
204	11389	16389
205	11439	16326
206	11495	16271
207	11542	16203
208	11590	16137
209	11635	16068
210	11680	15998
211	11724	15928
212	11770	15859
213	11818	15794
214	11872	15737
215	11912	15663
216	11953	15588
217	12012	15538
218	12061	15476
219	12105	15407
220	12147	15336
221	12194	15270
222	12246	15212
223	12291	15145
224	12338	15080
225	12381	15011
226	12420	14937
227	12481	14889
228	12541	14841
229	12581	14769
230	12622	14698
231	12662	14626
232	12712	14567
233	12751	14495
234	12791	14424
235	12834	14356
236	12874	14286
237	12931	14235
238	12975	14169
239	13026	14111
240	13068	14044
241	13123	13991
242	13161	13919
243	13206	13855
244	13255	13796
245	13312	13745
246	13352	13677
247	13391	13607
248	13432	13539
249	13470	13470
250	13523	13415
251	13571	13356
252	13614	13291
253	13658	13228
254	13718	13180
255	13770	13125
256	13825	13072
257	13881	13020
258	13926	12958
259	13966	12891
260	14005	12824
261	14062	12774
262	14105	12711
263	14153	12652
264	14203	12595
265	14250	12536
266	14312	12489
267	14354	12426
268	14395	12361
269	14450	12309
270	14504	12256
271	14543	12191
272	14613	12151
273	14692	12118
274	14733	12054
275	14779	11994
276	14829	11938
277	14878	11881
278	14925	11822
279	14977	11768
280	15033	11716
281	15083	11660
282	15137	11607
283	15193	11555
284	15250	11504
285	15291	11442
286	15338	11383
287	15377	11319
288	15419	11257
289	15465	11199
290	15507	11137
291	15549	11076
292	15586	11011
293	15641	10959
294	15689	10902
295	15728	10839
296	15782	10787
297	15823	10725
298	15869	10667
299	15917	10611
300	15961	10552
301	16016	10500
302	16057	10440
303	16106	10384
304	16148	10324
305	16220	10283
306	16270	10228
307	16312	10169
308	16371	10119
309	16413	10059
310	16468	10008
311	16517	9952
312	16587	9909
313	16635	9854
314	16695	9805
315	16742	9748
316	16803	9700
317	16857	9647
318	16905	9592
319	16961	9541
320	17006	9483
321	17053	9427
322	17117	9380
323	17170	9326
324	17243	9284
325	17303	9235
326	17415	9213
327	17458	9155
328	17516	9104
329	17574	9053
330	17643	9008
331	17700	8956
332	17745	8899
333	17800	8846
334	17842	8788
335	17890	8732
336	17938	8676
337	17993	8623
338	18035	8565
339	18086	8511
340	18133	8455
341	18181	8399
342	18235	8346
343	18276	8288
344	18328	8234
345	18371	8176
346	18416	8120
347	18467	8066
348	18508	8008
349	18561	7954
350	18604	7897
351	18643	7838
352	18701	7787
353	18755	7735
354	18808	7682
355	18851	7625
356	18886	7565
357	18939	7512
358	18994	7460
359	19038	7403
360	19079	7346
361	19135	7294
362	19188	7241
363	19243	7189
364	19286	7133
365	19339	7080
366	19384	7025
367	19439	6972
368	19478	6914
369	19529	6861
370	19576	6806
371	19628	6753
372	19681	6701
373	19734	6648
374	19779	6593
375	19827	6538
376	19881	6486
377	19933	6433
378	19975	6377
379	20012	6319
380	20050	6262
381	20087	6205
382	20142	6153
383	20192	6099
384	20247	6047
385	20290	5992
386	20349	5941
387	20396	5887
388	20442	5833
389	20485	5777
390	20539	5725
391	20594	5674
392	20641	5619
393	20695	5567
394	20740	5513
395	20794	5461
396	20851	5409
397	20891	5354
398	20931	5298
399	20991	5247
400	21070	5201
401	21134	5152
402	21186	5099
403	21227	5044
404	21279	4991
405	21339	4940
406	21377	4884
407	21432	4832
408	21483	4780
409	21538	4727
410	21578	4672
411	21633	4620
412	21675	4566
413	21717	4511
414	21771	4459
415	21813	4404
416	21866	4352
417	21905	4297
418	21959	4245
419	22001	4190
420	22054	4138
421	22103	4085
422	22157	4033
423	22195	3978
